Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
ALKEM,NSE:ALKEM,DAILY,180d,5372.0,5353.9,0.34,4056.1,02-04-2026,5075.0,77,13
VINATIORGA,NSE:VINATIORGA,DAILY,180d,1308.3,1288.49,1.54,3904.7,13-04-2026,1203.0,66,0
JMFINANCIL,NSE:JMFINANCIL,DAILY,180d,125.31,124.43,0.71,3760.2,30-03-2026,110.31,80,9
CHOICEIN,NSE:CHOICEIN,DAILY,365d,707.55,700.42,1.02,3589.9,03-03-2025,438.45,472,34
DEEPAKNTR,NSE:DEEPAKNTR,DAILY,180d,1658.2,1634.87,1.43,3381.6,30-03-2026,1280.0,80,1
IRCON,NSE:IRCON,DAILY,180d,139.18,138.72,0.33,3120.4,23-03-2026,114.5,87,12
UTIAMC,NSE:UTIAMC,DAILY,180d,958.0,946.53,1.21,2925.6,23-03-2026,896.5,87,14
SYNGENE,NSE:SYNGENE,DAILY,180d,440.3,434.5,1.34,2718.1,06-04-2026,380.0,73,0
KPIGREEN,NSE:KPIGREEN,DAILY,180d,407.4,404.29,0.77,2572.6,09-03-2026,335.65,101,5
PCJEWELLER,NSE:PCJEWELLER,DAILY,180d,8.93,8.88,0.57,2317.6,30-03-2026,7.47,80,9
BSOFT,NSE:BSOFT,DAILY,180d,325.15,324.08,0.33,2033.1,18-05-2026,306.4,31,6
CESC,NSE:CESC,DAILY,180d,170.69,168.26,1.44,2015.4,27-01-2026,138.12,142,3
SUMICHEM,NSE:SUMICHEM,DAILY,180d,452.35,452.04,0.07,2001.5,30-03-2026,362.6,80,1
DALBHARAT,NSE:DALBHARAT,DAILY,180d,1725.7,1693.46,1.9,1857.7,18-05-2026,1675.1,31,8
BLUESTONE,NSE:BLUESTONE,DAILY,180d,503.95,495.81,1.64,1845.1,17-02-2026,399.8,121,14
NCC,NSE:NCC,DAILY,180d,154.98,153.0,1.3,1809.1,30-03-2026,130.0,80,21
IONEXCHANG,NSE:IONEXCHANG,DAILY,180d,369.55,369.26,0.08,1593.5,23-03-2026,312.7,87,13
ARSSBL,NSE:ARSSBL,DAILY,180d,550.5,549.0,0.27,1543.6,30-03-2026,416.0,80,23
POKARNA,NSE:POKARNA,DAILY,180d,944.05,937.51,0.7,1527.6,02-02-2026,692.6,136,75
MOBIKWIK,NSE:MOBIKWIK,DAILY,180d,198.21,198.18,0.01,1519.8,30-03-2026,151.46,80,11
