Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
SUMMITSEC,NSE:SUMMITSEC,WEEKLY,52w,1546.1,1539.37,0.44,111.8,19-01-2026,1641.2,147,6
SIDDHIKA,NSE:SIDDHIKA,WEEKLY,52w,206.4,203.76,1.29,77.4,06-10-2025,180.65,252,2
VIDHIING,NSE:VIDHIING,WEEKLY,104w,289.75,285.63,1.44,74.9,08-12-2025,272.05,189,2
VIDHIING,NSE:VIDHIING,WEEKLY,208w,289.75,285.63,1.44,74.9,08-12-2025,272.05,189,2
VIDHIING,NSE:VIDHIING,WEEKLY,156w,289.75,285.63,1.44,74.9,08-12-2025,272.05,189,2
VIDHIING,NSE:VIDHIING,WEEKLY,52w,289.75,285.63,1.44,74.9,08-12-2025,272.05,189,2
NATHBIOGEN,NSE:NATHBIOGEN,WEEKLY,156w,167.32,165.24,1.26,73.3,10-03-2025,135.98,462,26
NATHBIOGEN,NSE:NATHBIOGEN,WEEKLY,104w,167.32,165.24,1.26,73.3,10-03-2025,135.98,462,26
SPTL,NSE:SPTL,WEEKLY,52w,1.06,1.06,0.34,71.5,07-08-2023,1.0,308,5
SPTL,NSE:SPTL,WEEKLY,260w,1.06,1.06,0.34,71.5,07-08-2023,1.0,308,5
SPTL,NSE:SPTL,WEEKLY,156w,1.06,1.06,0.34,71.5,07-08-2023,1.0,308,5
SPTL,NSE:SPTL,WEEKLY,208w,1.06,1.06,0.34,71.5,07-08-2023,1.0,308,5
SPTL,NSE:SPTL,WEEKLY,104w,1.06,1.06,0.34,71.5,07-08-2023,1.0,308,5
ALMONDZ,NSE:ALMONDZ,WEEKLY,104w,13.45,13.38,0.56,69.2,26-01-2026,12.51,140,2
ALMONDZ,NSE:ALMONDZ,WEEKLY,52w,13.45,13.38,0.56,69.2,26-01-2026,12.51,140,2
SUNDRMBRAK,NSE:SUNDRMBRAK,WEEKLY,156w,728.9,722.3,0.91,68.5,03-07-2023,349.67,1078,25
MUTHOOTCAP,NSE:MUTHOOTCAP,WEEKLY,156w,200.34,198.37,0.99,68.0,19-01-2026,214.1,147,5
MUTHOOTCAP,NSE:MUTHOOTCAP,WEEKLY,52w,200.34,198.37,0.99,68.0,19-01-2026,214.1,147,5
MUTHOOTCAP,NSE:MUTHOOTCAP,WEEKLY,104w,200.34,198.37,0.99,68.0,19-01-2026,214.1,147,5
CINELINE,NSE:CINELINE,WEEKLY,52w,82.55,81.5,1.29,58.7,13-10-2025,78.54,245,5
DOLPHIN,NSE:DOLPHIN,WEEKLY,52w,389.1,387.98,0.29,57.8,08-12-2025,322.0,189,1
ENIL,NSE:ENIL,WEEKLY,104w,108.17,106.62,1.46,52.3,19-01-2026,107.09,147,5
ENIL,NSE:ENIL,WEEKLY,260w,108.17,106.62,1.46,52.3,19-01-2026,107.09,147,5
ENIL,NSE:ENIL,WEEKLY,156w,108.17,106.62,1.46,52.3,19-01-2026,107.09,147,5
ENIL,NSE:ENIL,WEEKLY,208w,108.17,106.62,1.46,52.3,19-01-2026,107.09,147,5
ENIL,NSE:ENIL,WEEKLY,52w,108.17,106.62,1.46,52.3,19-01-2026,107.09,147,5
