Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
IKIO,NSE:IKIO,MONTHLY,120mo,154.58,154.02,0.37,780.4,01-02-2025,166.0,485,5
IKIO,NSE:IKIO,MONTHLY,60mo,154.58,154.02,0.37,780.4,01-02-2025,166.0,485,5
IKIO,NSE:IKIO,MONTHLY,36mo,154.58,154.02,0.37,780.4,01-02-2025,166.0,485,5
IKIO,NSE:IKIO,MONTHLY,84mo,154.58,154.02,0.37,780.4,01-02-2025,166.0,485,5
HCL-INSYS,NSE:HCL-INSYS,MONTHLY,36mo,12.79,12.31,3.94,774.7,01-04-2025,11.8,426,2
ASAHISONG,NSE:ASAHISONG,MONTHLY,120mo,262.8,257.78,1.95,752.9,01-03-2020,60.08,2283,5
ASAHISONG,NSE:ASAHISONG,MONTHLY,84mo,262.8,257.78,1.95,752.9,01-03-2020,60.08,2283,5
KSOLVES,NSE:KSOLVES,MONTHLY,36mo,276.85,270.35,2.4,722.5,01-08-2025,292.01,304,2
KSOLVES,NSE:KSOLVES,MONTHLY,84mo,276.85,276.56,0.11,722.5,01-08-2020,5.78,2130,1
KSOLVES,NSE:KSOLVES,MONTHLY,120mo,276.85,276.56,0.11,722.5,01-08-2020,5.78,2130,1
CONTROLPR,NSE:CONTROLPR,MONTHLY,60mo,599.05,586.29,2.18,705.8,01-10-2021,273.83,1704,1
SUBEXLTD,NSE:SUBEXLTD,MONTHLY,36mo,10.37,10.22,1.43,648.3,01-04-2025,10.55,426,5
SUBEXLTD,NSE:SUBEXLTD,MONTHLY,60mo,10.37,10.22,1.43,648.3,01-04-2025,10.55,426,5
RBZJEWEL,NSE:RBZJEWEL,MONTHLY,84mo,135.68,130.98,3.59,629.6,01-12-2023,96.0,913,2
RBZJEWEL,NSE:RBZJEWEL,MONTHLY,36mo,135.68,130.98,3.59,629.6,01-12-2023,96.0,913,2
RBZJEWEL,NSE:RBZJEWEL,MONTHLY,60mo,135.68,130.98,3.59,629.6,01-12-2023,96.0,913,2
RBZJEWEL,NSE:RBZJEWEL,MONTHLY,120mo,135.68,130.98,3.59,629.6,01-12-2023,96.0,913,2
THEMISMED,NSE:THEMISMED,MONTHLY,84mo,105.93,103.59,2.26,612.6,01-08-2019,13.47,2496,5
THEMISMED,NSE:THEMISMED,MONTHLY,120mo,105.93,103.59,2.26,612.6,01-08-2019,13.47,2496,5
THEMISMED,NSE:THEMISMED,MONTHLY,36mo,105.93,102.86,2.98,612.6,01-08-2025,97.52,304,6
5PAISA,NSE:5PAISA,MONTHLY,36mo,311.3,305.84,1.79,608.2,01-03-2025,311.65,457,2
LGHL,NSE:LGHL,MONTHLY,36mo,233.06,226.65,2.83,607.8,01-07-2023,12.27,1066,0
THEJO,NSE:THEJO,MONTHLY,84mo,1542.7,1533.32,0.61,584.8,01-04-2020,114.85,2252,1
MADRASFERT,NSE:MADRASFERT,MONTHLY,60mo,68.55,68.2,0.51,551.5,01-12-2021,25.45,1643,2
AFSL,NSE:AFSL,MONTHLY,84mo,201.0,194.84,3.16,505.4,01-02-2025,165.49,485,0
AFSL,NSE:AFSL,MONTHLY,60mo,201.0,194.84,3.16,505.4,01-02-2025,165.49,485,0
AFSL,NSE:AFSL,MONTHLY,36mo,201.0,194.84,3.16,505.4,01-02-2025,165.49,485,0
AFSL,NSE:AFSL,MONTHLY,120mo,201.0,194.84,3.16,505.4,01-02-2025,165.49,485,0
SYSTANGO,NSE:SYSTANGO,MONTHLY,36mo,229.65,226.84,1.24,462.1,01-04-2025,186.66,426,1
IFBAGRO,NSE:IFBAGRO,MONTHLY,36mo,885.5,862.76,2.64,461.8,01-06-2024,388.0,730,2
